// 0x009EFA3C
// client.dylib

// <address> <value>

0x00836258	"crosshair_setup"
0x00836A4C	"hideconsole"
0x00832E30	"plugin_load"
0x00836A58	"sv_logsdir"
0x00836A63	"sv_logfilename_format"
0x00836A79	"log"
0x00836A7D	"askconnect_accept"
0x00836A8F	"lightprobe"
0x00836A9A	"buildcubemaps"
0x00836AA8	"gameui_show_dialog"
0x00836ABB	"menu_reload"
0x00836AC7	"debug_dump"
0x00836AD2	"servercfgfile"
0x00836AE0	"lservercfgfile"
0x00836AEF	"+voicerecord"
0x00836AFC	"+mat_texture_list"
0x00836B0E	"mat_texture_list"
0x00836B1F	"mat_texture_list_content_path"
0x00836B3D	"mat_crosshair_edit"
0x00836A1D	"mat_crosshair_explorer"
0x00836B50	"startupmenu"
0x00836B5C	"movie_fixwave"
0x00836B6A	"cl_cloud_settings"
0x00836B7C	"stuffcmds"
0x00836B86	"mat_texture_save_fonts"
0x00836B9D	"load"
0x00836BA2	"snd_buildcache"
0x00836BB1	"__screenshot_internal"
0x00836BC7	"devshots_screenshot"
0x00836BDB	"mem_max_heapsize"
0x00836BEC	"datacachesize"
0x00832DF5	"con_logfile"
0x00832E01	"vprof_record_start"
0x00832E14	"vprof_record_stop"
0x00832E26	"test_loop"
0x00832E30	"plugin_load"
0x00832E3C	"sv_allow_wait_command"
